investor_id,tx_date,amount,fund_name
INV_109,2023-09-24,17588,Fund_11
INV_102,2024-04-16,37449,Fund_4
INV_148,2024-02-23,20526,Fund_11
INV_172,2023-08-01,34647,Fund_12
INV_192,2023-05-07,9247,Fund_32
INV_134,2024-03-26,43498,Fund_33
INV_187,2024-01-31,15202,Fund_11
INV_170,2023-03-26,26120,Fund_9
INV_163,2023-01-11,34041,Fund_15
INV_176,2024-02-17,9169,Fund_23
INV_193,2023-01-18,16094,Fund_18
INV_123,2023-10-07,10092,Fund_36
INV_103,2024-01-16,21798,Fund_24
INV_135,2023-01-28,25191,Fund_6
INV_120,2023-07-21,13138,Fund_40
INV_113,2024-04-13,26223,Fund_16
INV_152,2024-05-04,29961,Fund_25
INV_188,2024-01-17,15707,Fund_14
INV_129,2024-01-01,30388,Fund_24
INV_110,2023-05-03,8701,Fund_9
INV_182,2024-01-15,43657,Fund_3
INV_153,2023-01-08,8130,Fund_7
INV_171,2024-01-05,25392,Fund_19
INV_166,2024-01-09,16912,Fund_8
INV_138,2024-03-25,43607,Fund_5
INV_186,2023-01-01,37291,Fund_15
INV_106,2023-10-02,29258,Fund_40
INV_115,2024-02-18,20054,Fund_33
INV_131,2023-12-01,25968,Fund_30
INV_187,2023-12-03,18824,Fund_22
INV_176,2023-05-20,46507,Fund_29
INV_134,2024-03-26,6860,Fund_27
INV_171,2023-12-07,2994,Fund_35
INV_111,2023-03-25,2265,Fund_21
INV_182,2024-03-11,27316,Fund_25
INV_124,2023-01-14,31091,Fund_7
INV_178,2024-03-20,39799,Fund_37
INV_152,2024-05-11,12386,Fund_27
INV_185,2024-01-18,5629,Fund_40
INV_124,2024-03-04,41978,Fund_35
INV_121,2024-03-02,6773,Fund_12
INV_145,2024-03-16,22741,Fund_36
INV_139,2023-05-26,6429,Fund_23
INV_187,2023-10-24,20147,Fund_24
INV_147,2023-06-19,9254,Fund_20
INV_106,2023-12-31,26149,Fund_23
INV_136,2023-04-12,29067,Fund_26
INV_107,2024-01-16,4445,Fund_25
INV_105,2024-02-23,25135,Fund_6
INV_174,2023-09-21,3368,Fund_15
INV_180,2023-09-21,39619,Fund_11
INV_151,2024-02-20,2840,Fund_10
INV_145,2023-06-21,17233,Fund_40
INV_173,2023-05-17,2555,Fund_11
INV_185,2023-11-20,13872,Fund_27
INV_164,2023-05-08,42589,Fund_13
INV_182,2024-05-14,45721,Fund_3
INV_116,2023-04-22,35419,Fund_24
INV_142,2023-06-01,40967,Fund_28
INV_150,2024-01-18,5072,Fund_15
INV_124,2023-07-11,5527,Fund_26
INV_119,2023-09-27,35358,Fund_25
INV_198,2023-12-29,9294,Fund_32
INV_164,2023-11-14,33057,Fund_13
INV_158,2023-08-11,33411,Fund_40
INV_110,2023-07-26,20455,Fund_39
INV_187,2023-08-24,18224,Fund_22
INV_115,2023-08-14,14173,Fund_14
INV_111,2024-04-26,9532,Fund_10
INV_135,2024-02-06,36228,Fund_5
INV_171,2023-01-22,19489,Fund_17
INV_163,2023-12-31,6153,Fund_1
INV_180,2023-01-13,37138,Fund_6
INV_105,2023-11-14,18759,Fund_24
INV_118,2023-01-19,26950,Fund_15
INV_161,2023-10-26,36529,Fund_18
INV_182,2023-07-29,45797,Fund_16
INV_188,2023-02-16,48118,Fund_33
INV_197,2024-04-22,46617,Fund_24
INV_151,2024-03-20,4424,Fund_25
INV_122,2024-03-29,4300,Fund_25
INV_165,2024-04-05,17819,Fund_37
INV_124,2024-03-14,25158,Fund_15
INV_199,2023-12-05,7296,Fund_40
INV_192,2023-07-10,25435,Fund_4
INV_125,2024-04-21,42290,Fund_13
INV_132,2024-02-14,35424,Fund_32
INV_123,2024-01-27,36405,Fund_27
INV_133,2023-12-22,22872,Fund_38
INV_199,2023-07-30,1213,Fund_33
INV_145,2023-03-19,10141,Fund_16
INV_130,2023-08-07,47881,Fund_23
INV_128,2023-10-04,34930,Fund_16
INV_106,2024-01-29,44312,Fund_13
INV_175,2023-09-15,43643,Fund_34
INV_177,2024-03-11,13409,Fund_37
INV_102,2024-03-14,43013,Fund_8
INV_147,2023-10-15,5374,Fund_36
INV_180,2024-01-25,49779,Fund_29
INV_157,2023-02-03,28909,Fund_31
INV_182,2023-12-19,9577,Fund_4
INV_197,2024-01-07,30445,Fund_26
INV_103,2024-04-09,36853,Fund_13
INV_117,2023-04-03,23435,Fund_40
INV_155,2023-11-06,40520,Fund_14
INV_192,2023-03-28,11320,Fund_36
INV_192,2023-03-07,46305,Fund_38
INV_124,2023-04-06,28780,Fund_31
INV_175,2023-02-08,9420,Fund_5
INV_118,2023-10-14,12666,Fund_8
INV_183,2023-05-29,10129,Fund_14
INV_197,2024-04-17,7514,Fund_2
INV_124,2024-01-16,34025,Fund_5
INV_118,2023-11-21,43605,Fund_24
INV_110,2023-05-12,47117,Fund_21
INV_156,2023-02-03,5283,Fund_35
INV_163,2023-04-20,4113,Fund_10
INV_173,2024-04-04,2333,Fund_8
INV_121,2023-12-30,7276,Fund_36
INV_138,2023-02-05,13429,Fund_15
INV_198,2023-05-01,10235,Fund_28
INV_176,2024-02-14,3477,Fund_24
INV_122,2023-09-24,18997,Fund_22
INV_113,2023-02-27,14176,Fund_16
INV_181,2023-10-06,17265,Fund_23
INV_154,2023-09-11,38654,Fund_31
INV_113,2023-11-18,38690,Fund_8
INV_176,2023-07-16,28685,Fund_40
INV_132,2023-11-16,24000,Fund_19
INV_198,2023-06-16,20146,Fund_23
INV_179,2024-03-07,40904,Fund_11
INV_108,2023-04-02,24267,Fund_22
INV_132,2024-01-28,6862,Fund_12
INV_121,2024-03-25,27597,Fund_11
INV_100,2023-04-01,1337,Fund_13
INV_102,2023-05-19,27477,Fund_17
INV_115,2023-03-04,19986,Fund_8
INV_115,2024-03-22,38142,Fund_3
INV_181,2023-02-25,34176,Fund_27
INV_156,2023-07-16,13568,Fund_12
INV_131,2023-10-14,1480,Fund_18
INV_146,2023-05-07,6206,Fund_32
INV_157,2023-04-21,16818,Fund_32
INV_105,2023-05-15,6755,Fund_18
INV_197,2024-02-24,3709,Fund_6
INV_162,2023-11-16,7340,Fund_30
INV_194,2023-10-23,46988,Fund_25
INV_172,2023-12-07,3204,Fund_22
INV_172,2024-02-10,47508,Fund_10
INV_186,2023-07-26,1805,Fund_2
INV_103,2023-12-03,28248,Fund_23
INV_140,2024-01-29,37454,Fund_13
INV_172,2023-10-17,48221,Fund_16
INV_171,2023-02-08,15243,Fund_4
INV_167,2024-01-09,35480,Fund_35
INV_189,2023-08-15,27067,Fund_12
INV_187,2023-01-24,38734,Fund_22
INV_194,2024-02-03,10003,Fund_32
INV_183,2024-05-12,10307,Fund_25
INV_187,2023-05-08,49735,Fund_23
INV_121,2023-09-16,3479,Fund_20
INV_159,2024-02-17,42182,Fund_28
INV_178,2023-11-19,13730,Fund_40
INV_149,2024-03-11,14983,Fund_7
INV_144,2023-06-23,44831,Fund_28
INV_162,2023-04-21,41608,Fund_9
INV_154,2023-12-08,38745,Fund_1
INV_103,2023-04-09,41078,Fund_23
INV_161,2023-03-21,48074,Fund_5
INV_189,2023-02-06,20915,Fund_39
INV_184,2024-05-13,7001,Fund_15
INV_163,2023-03-17,25254,Fund_21
INV_174,2023-03-10,5961,Fund_31
INV_141,2023-10-24,1050,Fund_4
INV_154,2023-02-06,33330,Fund_25
INV_156,2023-04-03,39317,Fund_38
INV_101,2023-09-28,31333,Fund_12
INV_104,2023-02-10,10232,Fund_7
INV_171,2023-08-23,22836,Fund_40
INV_118,2023-11-10,4559,Fund_17
INV_168,2023-01-09,9662,Fund_38
INV_158,2023-03-06,4843,Fund_24
INV_139,2023-10-01,19971,Fund_19
INV_167,2023-12-12,2748,Fund_28
INV_169,2024-04-27,32105,Fund_3
INV_172,2023-07-07,25935,Fund_35
INV_147,2023-08-11,40400,Fund_35
INV_155,2023-10-17,8737,Fund_17
INV_145,2023-10-08,27488,Fund_2
INV_155,2023-10-30,43283,Fund_39
INV_104,2023-08-13,48348,Fund_16
INV_194,2023-01-20,13633,Fund_24
INV_194,2023-06-16,44569,Fund_37
INV_112,2023-08-26,43417,Fund_32
INV_129,2023-10-23,30769,Fund_10
INV_166,2024-04-26,21650,Fund_39
INV_158,2023-09-07,35308,Fund_15
INV_174,2023-10-14,48397,Fund_35
INV_140,2023-08-08,37466,Fund_40
INV_112,2023-07-14,32164,Fund_31
INV_133,2023-10-16,12355,Fund_24
INV_152,2023-01-17,46382,Fund_9
INV_141,2023-04-20,26109,Fund_34
INV_147,2024-03-18,22289,Fund_4
INV_179,2024-05-06,3195,Fund_31
INV_138,2023-05-14,27500,Fund_20
INV_114,2023-02-21,25076,Fund_17
INV_185,2023-09-22,36222,Fund_27
INV_174,2023-05-11,5995,Fund_35
INV_106,2023-06-21,23932,Fund_35
INV_171,2024-02-15,39467,Fund_5
INV_127,2023-02-01,47022,Fund_8
INV_153,2023-06-17,6583,Fund_23
INV_188,2023-03-25,7504,Fund_30
INV_154,2023-05-12,31248,Fund_4
INV_167,2024-04-15,27619,Fund_17
INV_121,2023-05-31,38165,Fund_34
INV_152,2023-08-14,33990,Fund_38
INV_173,2024-04-22,25086,Fund_40
INV_156,2023-11-20,18292,Fund_31
INV_190,2023-03-28,20848,Fund_27
INV_155,2023-03-10,14926,Fund_20
INV_155,2023-10-11,43048,Fund_33
INV_129,2024-01-18,35676,Fund_37
INV_149,2023-04-13,39081,Fund_28
INV_167,2023-06-08,22094,Fund_13
INV_182,2023-03-13,41982,Fund_32
INV_122,2024-03-03,40372,Fund_12
INV_135,2023-01-18,49820,Fund_33
INV_121,2023-12-09,4766,Fund_12
INV_171,2023-01-26,5638,Fund_36
INV_148,2023-02-23,24620,Fund_8
INV_128,2023-03-04,40662,Fund_6
INV_115,2024-01-17,25801,Fund_35
INV_162,2023-04-12,14051,Fund_22
INV_174,2023-08-24,40706,Fund_16
INV_166,2023-06-28,33612,Fund_31
INV_102,2023-05-20,31582,Fund_38
INV_181,2024-03-31,30918,Fund_26
INV_121,2023-02-07,36885,Fund_4
INV_111,2023-07-22,2130,Fund_26
INV_148,2023-05-09,21841,Fund_33
INV_198,2024-05-06,24443,Fund_38
INV_156,2023-08-19,45121,Fund_1
INV_107,2023-10-22,25695,Fund_4
INV_170,2023-04-02,9029,Fund_2
INV_155,2024-05-03,30951,Fund_30
INV_191,2023-10-17,43932,Fund_34
INV_137,2023-10-26,24246,Fund_39
INV_191,2024-01-17,47699,Fund_38
INV_124,2023-06-18,47927,Fund_14
INV_154,2023-04-05,32486,Fund_5
INV_118,2024-01-31,31168,Fund_27
INV_124,2023-06-22,47074,Fund_21
INV_182,2023-08-14,22828,Fund_17
INV_186,2023-08-23,38228,Fund_13
INV_183,2024-03-10,13696,Fund_14
INV_112,2023-07-15,46028,Fund_23
INV_189,2023-03-18,12113,Fund_10
INV_108,2023-08-07,45440,Fund_26
INV_104,2023-11-22,8901,Fund_9
INV_106,2023-08-20,28947,Fund_1
INV_197,2023-02-03,2469,Fund_8
INV_122,2023-08-08,5408,Fund_3
INV_102,2023-12-14,39732,Fund_21
INV_112,2023-09-27,11318,Fund_20
INV_186,2023-09-02,16972,Fund_25
INV_192,2024-01-14,39842,Fund_4
INV_198,2023-05-28,37930,Fund_27
INV_194,2023-10-20,9985,Fund_10
INV_133,2024-04-14,41720,Fund_4
INV_188,2024-01-28,49164,Fund_40
INV_185,2024-05-14,15720,Fund_2
INV_163,2024-02-23,42218,Fund_24
INV_164,2024-03-15,43967,Fund_25
INV_130,2023-06-02,44213,Fund_27
INV_104,2023-06-01,38627,Fund_27
INV_100,2023-11-12,41573,Fund_29
INV_187,2023-12-10,17977,Fund_39
INV_196,2023-04-05,13045,Fund_15
INV_124,2024-02-03,24219,Fund_27
INV_121,2023-11-07,17276,Fund_40
INV_133,2023-05-23,35845,Fund_7
INV_156,2023-02-20,30880,Fund_32
INV_132,2023-09-27,23606,Fund_32
INV_177,2023-06-14,10104,Fund_22
INV_136,2023-08-10,43007,Fund_25
INV_195,2023-08-31,24505,Fund_32
INV_126,2023-03-28,2049,Fund_33
INV_132,2024-03-27,32166,Fund_22
INV_145,2024-02-09,36391,Fund_9
INV_137,2023-10-25,41248,Fund_7
INV_165,2023-06-24,49843,Fund_17
INV_113,2023-06-29,20228,Fund_15
INV_181,2023-05-14,13326,Fund_38
INV_156,2023-04-05,27853,Fund_3
INV_106,2023-08-25,48505,Fund_29
INV_111,2024-01-04,38021,Fund_10
INV_164,2023-05-23,7901,Fund_25
INV_154,2023-08-10,6001,Fund_25
INV_176,2023-03-01,12706,Fund_36
INV_101,2023-03-08,46164,Fund_18
INV_136,2023-12-06,13998,Fund_39
INV_143,2024-01-23,22181,Fund_30
INV_196,2024-04-10,47723,Fund_1
INV_182,2024-02-03,14791,Fund_32
INV_116,2024-03-05,27227,Fund_17
INV_193,2023-05-30,45611,Fund_6
INV_130,2023-01-09,25390,Fund_3
INV_157,2024-01-07,1719,Fund_14
INV_132,2023-05-29,40448,Fund_35
INV_147,2023-09-20,9947,Fund_25
INV_104,2023-04-17,15095,Fund_9
INV_165,2023-08-05,25129,Fund_28
INV_152,2023-01-10,30343,Fund_10
INV_144,2024-05-10,33948,Fund_9
INV_193,2023-01-31,20019,Fund_40
INV_183,2023-06-20,30937,Fund_6
INV_121,2023-03-11,27812,Fund_7
INV_162,2023-07-25,18288,Fund_10
INV_122,2023-03-06,36679,Fund_24
INV_197,2024-01-27,42028,Fund_25
INV_113,2023-05-13,45461,Fund_37
INV_163,2023-03-10,17834,Fund_21
INV_132,2023-03-09,18471,Fund_21
INV_183,2023-02-03,10785,Fund_25
INV_190,2024-01-06,23939,Fund_30
INV_149,2024-03-01,24226,Fund_38
INV_102,2023-07-30,32179,Fund_36
INV_193,2023-06-04,3662,Fund_35
INV_127,2024-03-14,1849,Fund_10
INV_186,2023-11-12,34462,Fund_23
INV_134,2023-11-14,22800,Fund_1
INV_114,2023-06-07,11195,Fund_36
INV_142,2024-02-09,43506,Fund_6
INV_158,2023-11-23,36672,Fund_11
INV_147,2023-05-23,3241,Fund_29
INV_131,2023-04-09,32428,Fund_36
INV_162,2024-01-04,49982,Fund_40
INV_173,2023-02-16,18752,Fund_5
INV_164,2024-05-10,15820,Fund_1
INV_135,2023-12-16,30782,Fund_15
INV_104,2023-12-22,37614,Fund_5
INV_148,2023-11-16,1866,Fund_24
INV_108,2023-10-25,16908,Fund_14
INV_158,2023-08-31,36080,Fund_32
INV_173,2023-07-10,2781,Fund_22
INV_140,2023-05-30,49778,Fund_14
INV_185,2024-05-12,39701,Fund_4
INV_117,2024-01-18,43793,Fund_20
INV_199,2023-11-10,4923,Fund_8
INV_182,2024-01-18,20675,Fund_6
INV_155,2023-03-08,32582,Fund_18
INV_157,2023-01-05,2359,Fund_19
INV_194,2023-07-13,42699,Fund_20
INV_159,2023-03-15,41195,Fund_33
INV_103,2023-05-20,37662,Fund_37
INV_180,2023-02-24,4023,Fund_13
INV_195,2023-08-08,19762,Fund_20
INV_138,2023-09-30,19622,Fund_15
INV_155,2024-04-27,1063,Fund_13
INV_151,2023-06-19,47602,Fund_13
INV_111,2024-05-02,5879,Fund_31
INV_194,2023-10-12,47853,Fund_15
INV_190,2023-07-30,1410,Fund_1
INV_173,2023-05-08,7621,Fund_36
INV_167,2024-03-21,32895,Fund_16
INV_158,2023-08-20,5669,Fund_33
INV_122,2024-01-23,22964,Fund_25
INV_138,2023-07-12,28864,Fund_5
INV_122,2023-06-20,10926,Fund_37
INV_129,2024-03-22,48983,Fund_18
INV_106,2023-02-07,11588,Fund_38
INV_170,2024-01-11,43176,Fund_7
INV_133,2023-08-14,47811,Fund_10
INV_193,2023-03-16,46648,Fund_1
INV_167,2024-04-25,22518,Fund_30
INV_198,2023-06-16,10445,Fund_34
INV_113,2023-06-29,39346,Fund_16
INV_169,2023-02-06,15374,Fund_1
INV_150,2023-02-26,15137,Fund_2
INV_186,2023-10-19,14333,Fund_3
INV_166,2023-05-06,8137,Fund_19
INV_175,2023-03-18,20361,Fund_18
INV_120,2023-12-19,15970,Fund_38
INV_193,2023-02-09,1241,Fund_37
INV_103,2024-04-15,48128,Fund_23
INV_178,2023-08-16,20629,Fund_11
INV_171,2023-07-09,11596,Fund_5
INV_109,2024-03-01,45406,Fund_5
INV_174,2024-01-11,29395,Fund_21
INV_115,2024-02-27,46265,Fund_11
INV_131,2024-04-21,17622,Fund_15
INV_114,2023-05-15,47422,Fund_5
INV_130,2024-03-20,23290,Fund_8
INV_176,2024-01-21,25503,Fund_35
INV_147,2023-09-26,2613,Fund_21
INV_128,2023-03-13,26644,Fund_37
INV_166,2023-09-26,31723,Fund_17
INV_174,2023-06-24,5409,Fund_4
INV_118,2023-06-01,20716,Fund_36
INV_153,2024-01-13,4637,Fund_15
INV_149,2023-06-24,31529,Fund_36
INV_151,2024-01-29,23032,Fund_15
INV_123,2023-03-11,28921,Fund_22
INV_102,2024-03-14,10106,Fund_4
INV_191,2023-08-26,2011,Fund_25
INV_150,2023-03-29,14078,Fund_7
INV_190,2023-11-11,8850,Fund_5
INV_105,2024-04-28,18797,Fund_37
INV_179,2023-07-01,49944,Fund_18
INV_141,2023-11-12,15369,Fund_32
INV_104,2023-07-24,35544,Fund_5
INV_179,2023-06-22,23485,Fund_38
INV_195,2023-03-24,20149,Fund_20
INV_187,2023-04-25,26960,Fund_14
INV_184,2023-11-06,41200,Fund_27
INV_144,2024-04-18,42505,Fund_40
INV_124,2023-01-15,21292,Fund_36
INV_101,2023-07-19,5730,Fund_18
INV_100,2023-07-25,39151,Fund_25
INV_182,2023-07-03,15853,Fund_39
INV_138,2024-02-26,22429,Fund_1
INV_145,2024-02-05,21883,Fund_8
INV_122,2023-01-17,33917,Fund_20
INV_132,2023-08-16,15429,Fund_39
INV_129,2023-07-13,44871,Fund_33
INV_140,2023-01-26,4461,Fund_34
INV_169,2023-02-11,3519,Fund_13
INV_190,2023-03-04,21933,Fund_27
INV_171,2023-06-18,46667,Fund_8
INV_143,2023-06-25,35488,Fund_37
INV_190,2023-09-05,32501,Fund_8
INV_148,2023-09-07,35477,Fund_1
INV_133,2023-04-22,39397,Fund_18
INV_167,2023-05-01,27077,Fund_6
INV_170,2023-10-25,33293,Fund_3
INV_164,2023-03-23,49018,Fund_39
INV_183,2024-01-16,1403,Fund_31
INV_113,2023-01-27,22463,Fund_14
INV_129,2023-05-09,2351,Fund_5
INV_157,2023-11-08,37345,Fund_14
INV_192,2024-05-07,7821,Fund_13
INV_146,2023-01-24,24321,Fund_3
INV_182,2024-03-17,13821,Fund_40
INV_187,2023-01-18,19422,Fund_13
INV_135,2023-04-16,34866,Fund_32
INV_189,2023-11-22,48419,Fund_32
INV_130,2024-04-17,38750,Fund_30
INV_187,2023-11-21,26794,Fund_1
INV_136,2024-01-27,21630,Fund_34
INV_174,2024-03-19,15595,Fund_34
INV_138,2023-05-24,14748,Fund_23
INV_170,2023-08-08,6804,Fund_8
INV_136,2024-01-27,19318,Fund_28
INV_113,2023-10-04,24465,Fund_13
INV_191,2023-03-28,26069,Fund_13
INV_103,2023-04-19,15660,Fund_16
INV_153,2024-05-10,17024,Fund_11
INV_103,2023-06-13,32829,Fund_15
INV_188,2023-03-06,5708,Fund_28
INV_154,2024-02-07,31171,Fund_16
INV_153,2023-11-05,21867,Fund_9
INV_138,2023-02-01,32407,Fund_29
INV_117,2023-03-18,14468,Fund_31
INV_139,2023-12-19,47619,Fund_17
INV_146,2023-12-18,34228,Fund_10
INV_152,2023-03-27,35084,Fund_2
INV_168,2023-07-25,28049,Fund_33
INV_180,2024-01-27,16613,Fund_12
INV_101,2024-02-19,14909,Fund_2
INV_191,2023-07-06,34342,Fund_33
INV_166,2024-04-08,35988,Fund_23
INV_128,2023-02-20,22044,Fund_33
INV_118,2023-02-02,8273,Fund_3
INV_185,2023-10-10,22085,Fund_34
INV_161,2023-09-10,9552,Fund_38
INV_127,2024-02-10,25353,Fund_22
INV_113,2023-10-20,23091,Fund_37
INV_197,2023-02-01,32846,Fund_21
INV_143,2024-04-05,29331,Fund_38
INV_189,2023-09-25,10593,Fund_13
INV_192,2023-09-03,47980,Fund_20
INV_182,2024-04-16,27396,Fund_24
INV_169,2023-08-17,4888,Fund_16
INV_170,2024-03-04,14351,Fund_37
INV_144,2023-09-05,10537,Fund_30
INV_151,2023-07-06,38133,Fund_18
INV_196,2024-02-29,48760,Fund_39
INV_168,2023-01-19,44699,Fund_28
INV_110,2023-06-21,41115,Fund_3
INV_129,2024-04-17,14715,Fund_9
INV_114,2023-05-29,29359,Fund_39
INV_125,2023-10-20,5303,Fund_4
INV_138,2023-01-23,22894,Fund_1
INV_182,2024-01-16,46228,Fund_23
INV_139,2024-01-04,11730,Fund_35
INV_156,2023-06-08,11281,Fund_40
INV_192,2024-02-14,22989,Fund_17
INV_182,2024-04-29,16052,Fund_15
INV_124,2023-10-09,32709,Fund_20
INV_152,2023-02-12,21228,Fund_13
INV_171,2023-05-20,2869,Fund_33
INV_103,2024-04-05,16450,Fund_37
INV_174,2023-11-17,10136,Fund_37
INV_163,2023-08-02,4075,Fund_23
INV_151,2024-03-20,47402,Fund_17
INV_158,2024-03-12,20950,Fund_6
INV_111,2023-11-05,6776,Fund_2
INV_148,2024-05-06,45353,Fund_28
INV_148,2023-04-26,43748,Fund_27
INV_144,2023-08-20,9984,Fund_29
INV_185,2023-11-13,20915,Fund_24
INV_116,2024-04-14,17774,Fund_11
INV_198,2023-03-07,39108,Fund_13
INV_102,2023-12-04,48231,Fund_7
INV_116,2024-05-09,31972,Fund_34
INV_198,2023-03-17,40509,Fund_16
INV_180,2023-01-16,19019,Fund_37
INV_155,2023-03-16,13172,Fund_40
INV_148,2023-01-05,47873,Fund_28
INV_132,2023-11-24,16706,Fund_6
INV_139,2024-04-07,29385,Fund_27
INV_124,2024-03-21,26811,Fund_31
INV_132,2024-03-09,9686,Fund_37
INV_129,2023-07-30,13742,Fund_39
INV_187,2024-01-11,25173,Fund_38
INV_156,2023-06-02,38185,Fund_36
INV_165,2023-02-23,43710,Fund_17
INV_193,2024-01-01,13308,Fund_1
INV_190,2023-09-24,49447,Fund_36
INV_191,2024-01-15,7126,Fund_2
INV_180,2023-08-04,11915,Fund_18
INV_103,2024-03-17,16041,Fund_24
INV_160,2023-05-03,24045,Fund_27
INV_151,2024-02-25,44302,Fund_7
INV_115,2023-04-29,43813,Fund_25
INV_180,2023-04-25,24570,Fund_21
INV_198,2023-10-10,32887,Fund_36
INV_131,2023-08-25,14199,Fund_26
INV_175,2023-04-29,1541,Fund_3
INV_194,2023-07-10,45646,Fund_2
INV_156,2023-04-24,7577,Fund_25
INV_125,2024-03-25,32881,Fund_28
INV_150,2023-12-27,36907,Fund_31
INV_145,2023-02-23,37607,Fund_6
INV_147,2023-12-16,25035,Fund_19
INV_182,2024-03-20,44048,Fund_12
INV_170,2024-05-03,5228,Fund_11
INV_110,2023-12-22,20664,Fund_19
INV_157,2023-09-07,3395,Fund_16
INV_114,2023-10-09,14602,Fund_21
INV_169,2024-04-25,10611,Fund_40
INV_170,2023-01-10,6746,Fund_6
INV_163,2023-07-15,18104,Fund_25
INV_187,2023-10-10,12635,Fund_23
INV_151,2023-04-10,33694,Fund_33
INV_153,2023-07-18,19562,Fund_25
INV_193,2024-04-24,23353,Fund_14
INV_172,2024-03-24,32586,Fund_11
INV_133,2023-01-20,48475,Fund_3
INV_182,2023-01-16,8816,Fund_20
INV_158,2023-03-03,33284,Fund_17
INV_107,2023-06-17,38146,Fund_29
INV_194,2024-01-08,10209,Fund_30
INV_170,2023-05-05,18148,Fund_3
INV_177,2024-01-07,24675,Fund_16
INV_129,2024-05-14,15184,Fund_38
INV_182,2023-06-06,16685,Fund_19
INV_165,2023-04-16,23173,Fund_32
INV_128,2023-03-24,20381,Fund_23
INV_160,2023-05-04,20315,Fund_21
INV_167,2023-10-21,15311,Fund_30
INV_196,2023-03-26,17647,Fund_6
INV_176,2023-01-19,35720,Fund_36
INV_123,2023-04-02,6830,Fund_33
INV_191,2023-09-25,5150,Fund_1
INV_195,2023-11-03,15334,Fund_39
INV_197,2024-04-26,46652,Fund_34
INV_187,2023-09-01,18504,Fund_40
INV_110,2024-02-28,19813,Fund_32
INV_138,2023-03-11,21854,Fund_33
INV_188,2023-02-15,6205,Fund_22
INV_172,2023-03-18,11681,Fund_9
INV_163,2023-11-29,11050,Fund_39
INV_197,2023-06-12,49739,Fund_11
INV_133,2023-01-28,24964,Fund_23
INV_174,2023-05-26,46273,Fund_15
INV_111,2023-09-14,23273,Fund_21
INV_143,2023-01-08,8812,Fund_22
INV_164,2024-05-12,42287,Fund_15
INV_165,2023-09-03,35730,Fund_16
INV_184,2023-06-22,27910,Fund_39
INV_125,2023-04-28,37721,Fund_13
INV_102,2023-04-29,35118,Fund_7
INV_143,2023-06-17,30507,Fund_40
INV_126,2024-02-19,12872,Fund_39
INV_165,2023-11-06,20863,Fund_7
INV_120,2023-04-13,24704,Fund_23
INV_178,2024-01-15,46831,Fund_34
INV_191,2023-05-21,25778,Fund_22
INV_114,2024-03-28,24129,Fund_12
INV_155,2024-03-08,36238,Fund_23
INV_114,2023-09-03,21460,Fund_30
INV_120,2023-03-14,6015,Fund_29
INV_187,2023-12-25,25196,Fund_35
INV_150,2024-01-28,42284,Fund_32
INV_155,2024-02-12,10215,Fund_13
INV_170,2023-08-24,14526,Fund_16
INV_105,2023-12-19,32949,Fund_24
INV_112,2023-09-13,34001,Fund_17
INV_156,2023-10-28,19932,Fund_14
INV_131,2023-01-14,49267,Fund_19
INV_126,2023-12-20,6365,Fund_37
INV_157,2024-03-25,4653,Fund_27
INV_170,2024-03-05,4278,Fund_30
INV_125,2023-02-28,42919,Fund_6
INV_107,2023-10-08,19983,Fund_31
INV_118,2024-02-17,16546,Fund_17
INV_143,2024-01-27,5774,Fund_20
