,VaR_95,CVaR
Fund_1,-0.022502947505025593,-0.028754670588781187
Fund_2,-0.022120810698091003,-0.030922846445221266
Fund_3,-0.025658722264511998,-0.032601726282594695
Fund_4,-0.02275459725646195,-0.029669429930729973
Fund_5,-0.02445782322969949,-0.031080228350384768
Fund_6,-0.02487463747824637,-0.029516243444734212
Fund_7,-0.02102828812580258,-0.0265722827902108
Fund_8,-0.02335114874494306,-0.029399046863682967
Fund_9,-0.02370969318647401,-0.030939183042417055
Fund_10,-0.02366399977543594,-0.029511901719896413
Fund_11,-0.022710105483673276,-0.0291913586646033
Fund_12,-0.02540330289771522,-0.03338923449487963
Fund_13,-0.024520678372022185,-0.030843980741734275
Fund_14,-0.0228774937823167,-0.030123025519247983
Fund_15,-0.023250491092188113,-0.03005943658609517
Fund_16,-0.023621408554142995,-0.030674102875805565
Fund_17,-0.020833010677247167,-0.02720056685947282
Fund_18,-0.023582917913927998,-0.029829946814813303
Fund_19,-0.022238358909559604,-0.02794608907431928
Fund_20,-0.026082796467786436,-0.032773927307102955
Fund_21,-0.021389426249561774,-0.029312223074616246
Fund_22,-0.02244987733206696,-0.028561699027294
Fund_23,-0.026873456657353335,-0.034504125835353984
Fund_24,-0.02472863042502201,-0.030756221485997878
Fund_25,-0.024928767828748602,-0.02996141822293731
Fund_26,-0.02496563396010282,-0.03182031106742687
Fund_27,-0.021049895126727235,-0.028630982650553714
Fund_28,-0.02354805670265595,-0.029623405931582098
Fund_29,-0.023532080246716654,-0.03068480872795755
Fund_30,-0.025374750816844642,-0.030445293389864226
Fund_31,-0.022982552145018792,-0.027678482640462566
Fund_32,-0.02609705231537269,-0.03120541588306179
Fund_33,-0.023516953355506322,-0.030533603270899504
Fund_34,-0.02173581253837553,-0.029502614504209754
Fund_35,-0.02515116460524587,-0.032552141106782145
Fund_36,-0.021569630005072685,-0.02715831277488826
Fund_37,-0.022540222574162296,-0.02904680712998748
Fund_38,-0.02486283214329386,-0.03236477526778142
Fund_39,-0.022630089229028167,-0.029260888356090156
Fund_40,-0.025315457196976178,-0.0305878252980807
